No-change_LCMS	No-change_Pho	Down_Pho	Up_Pho
CNAG_06109	CNAG_03356	CNAG_00992
CNAG_00785	CNAG_04397	CNAG_04693
CNAG_04163	CNAG_03058	CNAG_02163
CNAG_00741	CNAG_03620	CNAG_03456
CNAG_00930	CNAG_03188	CNAG_00740
CNAG_04604	CNAG_03836	CNAG_07430
CNAG_02565	CNAG_05117	CNAG_00436
CNAG_00879	CNAG_01159	CNAG_01048
CNAG_06314	CNAG_02298	CNAG_05043
CNAG_01813	CNAG_01140	CNAG_03712
CNAG_02460	CNAG_02100	CNAG_04243
CNAG_03113	CNAG_04659	CNAG_07679
CNAG_00143	CNAG_05609	CNAG_00101
CNAG_01052	CNAG_05581	CNAG_01572
CNAG_04439	CNAG_05314	CNAG_01408
CNAG_06849	CNAG_07481	CNAG_04220
CNAG_06638	CNAG_07372	CNAG_04377
CNAG_02814	CNAG_03818	CNAG_03135
CNAG_01027	CNAG_02975	CNAG_05829
CNAG_04028	CNAG_07848	CNAG_04365
CNAG_03270	CNAG_06685	CNAG_00636
CNAG_00935	CNAG_03338	CNAG_02867
CNAG_01846	CNAG_00717
CNAG_03375	CNAG_04433
CNAG_02974	CNAG_03360
CNAG_00450	CNAG_06903
CNAG_00147	CNAG_05510
CNAG_00848	CNAG_05480
CNAG_02076	CNAG_03790
CNAG_02110	CNAG_05030
CNAG_00162	CNAG_06641
CNAG_06101	CNAG_01943
CNAG_06585	CNAG_03533
CNAG_05292	CNAG_03539
CNAG_01492	CNAG_05155
CNAG_00057	CNAG_06635
CNAG_07810	CNAG_04348
CNAG_03627	CNAG_05292
CNAG_02239	CNAG_01970
CNAG_06169	CNAG_01916
CNAG_03967	CNAG_05285
CNAG_00984	CNAG_05139
CNAG_03266	CNAG_03791
CNAG_04738	CNAG_05939
CNAG_05497	CNAG_04368
CNAG_01274	CNAG_00500
CNAG_05828	CNAG_00152
CNAG_00602	CNAG_01984
CNAG_00413	CNAG_01006
CNAG_02035	CNAG_01375
CNAG_02212	CNAG_04611
CNAG_02858	CNAG_00520
CNAG_02542	CNAG_04603
CNAG_03311	CNAG_02699
CNAG_03899	CNAG_01414
CNAG_02843	CNAG_03726
CNAG_01120	CNAG_03337
CNAG_07628	CNAG_01824
CNAG_05437	CNAG_03373
CNAG_03725	CNAG_02789
CNAG_07805	CNAG_02004
CNAG_01182	CNAG_03987
CNAG_02335	CNAG_04604
CNAG_03904	CNAG_03605
CNAG_02399	CNAG_02948
CNAG_05475	CNAG_04221
CNAG_05847	CNAG_06469
CNAG_05462	CNAG_05826
CNAG_03621	CNAG_04257
CNAG_02209	CNAG_00812
CNAG_00656	CNAG_01533
CNAG_06830	CNAG_05134
CNAG_01395	CNAG_07329
CNAG_01733	CNAG_07360
CNAG_00058	CNAG_05343
CNAG_03120	CNAG_00241
CNAG_07676	CNAG_00377
CNAG_02722	CNAG_03116
CNAG_02726	CNAG_03378
CNAG_04362	CNAG_02981
CNAG_05631	CNAG_06464
CNAG_07400	CNAG_01616
CNAG_05351	CNAG_05371
CNAG_05260	CNAG_07857
CNAG_00115	CNAG_05384
CNAG_00655	CNAG_01660
CNAG_03418	CNAG_02234
CNAG_04948	CNAG_07431
CNAG_05623	CNAG_00388
CNAG_07363	CNAG_06151
CNAG_01361	CNAG_04769
CNAG_05935	CNAG_07536
CNAG_02751	CNAG_01491
CNAG_01216	CNAG_05636
CNAG_02294	CNAG_02341
CNAG_03706	CNAG_01391
CNAG_04976	CNAG_02121
CNAG_04388	CNAG_00083
CNAG_06081	CNAG_07333
CNAG_00121	CNAG_06578
CNAG_03482	CNAG_03873
CNAG_00788	CNAG_01448
