gene_id	LFC
CNAG_04594	8.93E-01
CNAG_12660	4.48E-01
CNAG_05265	-5.10E-01
CNAG_05196	-4.10E-01
CNAG_00544	8.84E-01
CNAG_05739	1.60E+00
CNAG_00673	-1.36E-01
CNAG_01435	-3.13E-01
CNAG_12314	-6.42E-01
CNAG_07339	-2.51E-01
CNAG_07435	4.15E-01
CNAG_02713	-4.08E-01
CNAG_00585	-4.57E-01
CNAG_03238	5.29E+00
CNAG_06424	1.03E+00
CNAG_13099	-3.33E-01
CNAG_00889	5.63E-01
CNAG_04474	-7.33E-01
CNAG_05034	-3.60E-01
CNAG_07797	-9.45E-01
CNAG_12360	-4.44E-01
CNAG_03268	-8.42E-01
CNAG_03913	2.68E+00
CNAG_02389	2.35E-01
CNAG_07851	-1.80E-01
CNAG_01372	3.29E-01
CNAG_00400	-2.80E-01
CNAG_05978	-1.71E-01
CNAG_00652	7.96E-01
CNAG_06108	-3.65E-01
CNAG_02654	2.15E-01
CNAG_07867	-9.70E-01
CNAG_01000	-2.52E-01
CNAG_02587	7.80E-01
CNAG_03822	3.26E-01
CNAG_01273	-5.30E-01
CNAG_02660	3.11E+00
CNAG_02362	-4.21E-01
CNAG_03705	-5.83E-01
CNAG_04156	-2.24E-01
CNAG_07523	-3.06E-01
CNAG_04951	-1.08E+00
CNAG_07308	1.20E+00
CNAG_04151	-6.22E-01
CNAG_05424	2.01E-01
CNAG_13056	3.17E+00
CNAG_12054	8.50E-01
CNAG_04408	-1.63E-01
CNAG_12627	-4.11E-01
CNAG_06225	-1.69E+00
CNAG_05129	8.52E-01
CNAG_06021	7.66E-01
CNAG_01046	-2.68E-01
CNAG_02730	3.47E-01
CNAG_00779	-5.15E-01
CNAG_05115	-6.38E-01
CNAG_02735	4.14E+00
CNAG_06064	-1.23E+00
CNAG_02416	-3.75E-01
CNAG_01321	-2.65E-01
CNAG_03560	4.36E-01
CNAG_02593	5.79E-01
CNAG_05672	-1.80E-01
CNAG_00472	1.10E+00
CNAG_04462	2.60E-01
CNAG_02170	1.38E+00
CNAG_12832	-8.41E-01
CNAG_01402	3.11E-01
CNAG_00141	1.64E+00
CNAG_01091	-1.56E-01
CNAG_04919	2.95E-01
